종가,52주최고,고점대비%,신고가갱신,OBV위치%,5일수익%,20일수익%,거래량배수,20일선위,60일선위,데이터일수,A_신고가임박,B_OBV신고가,C_연속양봉,티커,종목명,시총(억),거래대금(억)
203000.0,438000.0,-53.65,False,82.2,4.16,1.6,0.5,True,True,323,False,False,False,066570,LG전자,326583.69919,424.15373
6360.0,11440.0,-44.41,False,100.0,14.18,10.42,75.82,True,True,323,False,True,True,240550,동방메디컬,1450.722042,366.4500454
237000.0,426000.0,-44.37,False,95.3,4.87,13.4,0.34,True,True,323,False,False,False,042700,한미반도체,225413.353,411.57928
193900.0,414000.0,-53.16,False,82.0,-4.72,-27.92,1.29,False,False,323,False,False,False,010060,OCI홀딩스,36630.995184,406.973504
519000.0,1788000.0,-70.97,False,57.1,2.57,-8.95,0.43,False,False,323,False,False,False,011070,LG이노텍,122832.28533,400.848215
136000.0,219500.0,-38.04,False,73.6,19.19,8.54,1.12,True,False,323,False,False,False,319660,피에스케이,39452.664468,388.755412
372000.0,822000.0,-54.74,False,13.3,-6.3,-25.38,0.41,False,False,323,False,False,False,012330,현대모비스,334132.5762,384.31282
119400.0,212500.0,-43.81,False,71.9,-3.32,-9.2,0.6,False,False,323,False,False,False,000270,기아,468105.184602,361.503018
14400.0,38700.0,-62.79,False,95.7,9.42,27.66,1.44,True,True,188,False,False,False,217590,티엠씨,3508.11916,321.50416815
128300.0,230500.0,-44.34,False,100.0,14.76,47.3,0.61,True,True,323,False,True,False,000990,DB하이텍,55207.322172,359.366226
9380.0,14990.0,-37.42,False,99.8,16.81,8.19,1.38,True,True,323,False,False,True,332570,PS일렉트로닉스,4345.9810438,333.16712395
207500.0,335000.0,-38.06,False,68.6,5.06,7.9,0.4,True,True,323,False,False,False,010120,LS ELECTRIC,310500.0,347.134225
47650.0,74000.0,-35.61,False,100.0,10.56,2.14,1.65,True,True,323,False,True,False,089030,테크윙,17619.0081975,339.30879325
135300.0,142500.0,-5.05,False,93.8,-3.63,5.13,0.39,False,True,323,True,False,False,086790,하나금융지주,367435.19796,300.9555335
91850.0,196900.0,-53.35,False,73.9,12.7,22.3,1.34,True,True,323,False,False,True,131970,두산테스나,17355.859724,296.700362
308500.0,464000.0,-33.51,False,99.5,-2.83,24.65,0.3,True,True,323,False,False,False,108490,로보티즈,45174.44624,286.3586225
4025.0,19950.0,-79.82,False,91.4,21.05,21.05,2.38,True,True,323,False,False,True,027360,아주IB투자,4882.1598618,283.29543201
101800.0,198000.0,-48.59,False,86.1,6.49,-2.68,0.47,False,False,323,False,False,False,353200,대덕전자,50158.178875,280.5597
446500.0,765000.0,-41.63,False,9.2,-5.0,-1.98,0.43,False,False,323,False,False,False,329180,HD현대중공업,473899.930875,280.2753825
130700.0,164200.0,-20.4,False,99.7,6.96,24.24,0.4,True,True,323,False,False,False,222800,심텍,49914.430222,279.7936685
571000.0,883000.0,-35.33,False,86.5,2.33,4.01,0.48,True,False,323,False,False,False,034730,SK,413990.43413,278.60531
4075.0,6900.0,-40.94,False,89.8,35.61,62.03,0.98,True,True,323,False,False,False,201490,미투온,1356.3984427,272.96459817
118500.0,256000.0,-53.71,False,91.6,-6.91,-5.05,1.34,False,False,323,False,False,False,322000,HD현대에너지솔루션,13316.8,267.127566
106600.0,225000.0,-52.62,False,68.6,-6.0,-12.34,0.5,False,True,323,False,False,False,066970,엘앤에프,43737.6478,271.0831395
125600.0,198400.0,-36.69,False,88.5,0.08,18.94,0.34,False,True,323,False,False,False,000720,현대건설,141755.888845,271.1606665
255500.0,437818.0,-41.64,False,4.2,-0.97,-20.28,0.22,False,False,323,False,False,False,196170,알테오젠,178665.416145,266.9954125
27500.0,55934.0,-50.83,False,93.0,-4.18,-14.46,0.71,False,False,323,False,False,False,009830,한화솔루션,62182.786204,269.4686375
36450.0,44850.0,-18.73,False,99.0,0.69,7.52,0.48,True,True,323,False,False,False,006360,GS건설,31451.197575,266.1131985
48200.0,108900.0,-55.74,False,95.7,3.88,23.12,0.54,True,True,323,False,False,False,336260,두산퓨얼셀,31338.747891,260.01262025
87000.0,139500.0,-37.63,False,72.5,-2.14,-14.96,0.47,False,False,323,False,False,False,017670,SK텔레콤,187941.296375,264.0046425
145800.0,236500.0,-38.35,False,84.5,10.45,9.3,0.56,True,False,323,False,False,False,095610,테스,28536.64,251.0307615
318500.0,542000.0,-41.24,False,66.0,-0.93,-2.75,0.44,False,False,323,False,False,False,005490,POSCO홀딩스,253176.678765,254.2899875
48450.0,63420.0,-23.6,False,98.6,9.86,41.46,0.62,True,True,323,False,False,False,327260,RF머트리얼즈,8904.475305,248.07720025
29350.0,44300.0,-33.75,False,100.0,70.64,39.76,3.45,True,True,323,False,True,True,078350,한양디지텍,4390.382016,248.4686365
32200.0,69200.0,-53.47,False,31.7,6.45,-14.93,0.87,False,False,323,False,False,False,028300,HLB,42490.233137,250.13473975
13980.0,23550.0,-40.64,False,96.6,-1.69,14.4,0.71,True,True,323,False,False,False,093370,후성,14929.941936,243.5051558
